year,tercile,poisson_coef,poisson_se,poisson_pval,poisson_rate_ratio,poisson_ci_lower,poisson_ci_upper,coef_ols,se_ols,coef_wls,se_wls,diff_poisson_ols,diff_poisson_wls
2018,T2,0.0420275391771176,0.0808270251932137,0.6030852532529081,1.042923199602001,-0.11639343020158127,0.20044850855581647,-0.0007914031754011,0.0017831877442254,-0.0010575086670579,0.0012176756368824,0.0428189423525187,0.0430850478441755
2018,T1,-0.09731938018705207,0.11357717395692045,0.5275533486726405,0.9072661970083833,-0.31993064114261616,0.125291880768512,-0.0002144406364657,0.0021591098383408,-0.0009658882006977,0.0015798692370663,-0.09710493955058637,-0.09635349198635436
2018,T3,0.033497547582972825,0.1283354277201795,0.17276736619362432,1.0340649077647819,-0.21803989074857902,0.2850349859145247,-0.0035457835693729,0.002432328351962,-0.0022766539848311,0.0020074362079197,0.037043331152345725,0.03577420156780393
2019,T2,0.003264319381887839,0.09509678870953561,0.9726169655721524,1.0032696530744476,-0.18312538648880194,0.18965402525257763,-0.0013636520695896,0.001690504817968,-0.0005940427633734,0.0012476716948846,0.004627971451477439,0.003858362145261239
2019,T1,-0.19100340152438733,0.12788218915702662,0.3219094110492877,0.8261297780458274,-0.4416524922721595,0.05964568922338487,-0.0014796436603611,0.0020877070628961,-0.0022819104826609,0.0016315378444414,-0.18952375786402623,-0.18872149104172642
2019,T3,-0.009453194769368511,0.12118408646952938,0.13930724311236223,0.9905913462142796,-0.2469740042496461,0.22806761471090908,-0.0028636948712354,0.0024042672072188,-0.0023450459570804,0.0017868621306238,-0.006589499898133112,-0.007108148812288112
2021,T2,-0.08733598556863521,0.07184184402370764,0.22411059809944733,0.9163691570922708,-0.2281459998551022,0.05347402871783176,-0.0006966458435495,0.0017343791263058,-0.0001342500502965,0.0009199070545351,-0.08663933972508571,-0.08720173551833871
2021,T1,-0.2697182317068635,0.10159015680987463,0.2585164981393696,0.76359462078047,-0.46883493905421775,-0.07060152435950923,-0.0016210714728022,0.0020491354811191,-0.0019559051702785,0.0012816658333904,-0.26809716023406127,-0.267762326536585
2021,T3,-0.008304250102628336,0.10557277348394786,0.4077128587925958,0.9917301349357718,-0.21522688613116614,0.19861838592590947,-0.0038942044152667,0.0020687582398742,-0.0025164877476737,0.0015484259401568,-0.004410045687361636,-0.005787762354954635
2022,T2,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,T1,-0.0675950781671099,0.07595165826368241,0.3734793022894459,0.9346388526423736,-0.21646032836392742,0.08127017202970764,0.0,0.0,0.0,0.0,-0.0675950781671099,-0.0675950781671099
2022,T3,0.16643809575421786,0.07755935572087394,0.031877383314543595,1.181090419095683,0.014421758541304952,0.3184544329671308,0.0,0.0,0.0,0.0,0.16643809575421786,0.16643809575421786
2023,T2,0.20543368028407413,0.059450349229874605,0.0005491704344121961,1.2280575338343391,0.08891099579351991,0.32195636477462836,0.0050101226497907,0.0020079839063472,0.0042818105757719,0.0010664005184981,0.20042355763428343,0.20115186970830223
2023,T1,0.21656469664873707,0.08134289950248867,0.33312930237846783,1.24180342327488,0.05713261362385927,0.3759967796736149,0.0059697529852067,0.0024007664248209,0.0041844335699345,0.0014186885727566,0.21059494366353038,0.21238026307880256
2023,T3,0.5063875529621755,0.08450279159561778,0.11141839081941897,1.6592862714658474,0.34076208143476466,0.6720130244895863,0.0098445847689801,0.0030947069740204,0.0073190505434224,0.0016453364555246,0.49654296819319543,0.4990685024187531
2024,T2,0.4001015252343599,0.0750399826574147,9.722012795068347e-08,1.4919761631819795,0.2530231592258271,0.5471798912428927,0.0085490781228269,0.0019735083437454,0.0083207896653807,0.0014419877467945,0.391552447111533,0.3917807355689792
2024,T1,0.31398545567569197,0.09757256529744845,0.8494520540187407,1.3688698271158903,0.122743227692693,0.505227683658691,0.0086791365993718,0.0028320317323073,0.0069404288895168,0.0017431349572825,0.30530631907632017,0.3070450267861752
2024,T3,0.5579832474986078,0.10802172613455932,0.9368657927617235,1.747145385006785,0.34626066427487157,0.7697058307223441,0.0092604666464456,0.002716723724104,0.0095166905468297,0.0022649140541328,0.5487227808521622,0.5484665569517782
