parameter,coefficient,std_error,p_value,rate_ratio,rr_ci_lower,rr_ci_upper
const,-4.221631078235738,0.054177031609193356,0.0,0.014674689407384955,0.013196309653395152,0.016318691729684576
tercile_T1,-0.0675950781671099,0.07595165826368241,0.3734793022894459,0.9346388526423736,0.8053644844156546,1.0846639028321081
tercile_T3,0.16643809575421786,0.07755935572087394,0.031877383314543595,1.181090419095683,1.0145262538320077,1.3750009650421584
year_2018,0.0420275391771176,0.0808270251932137,0.6030852532529081,1.042923199602001,0.8901249523589686,1.2219506906143143
year_2019,0.003264319381887839,0.09509678870953561,0.9726169655721524,1.0032696530744476,0.8326637444080788,1.2088313001974829
year_2021,-0.08733598556863521,0.07184184402370764,0.22411059809944733,0.9163691570922708,0.796008034293537,1.054929593537668
year_2023,0.20543368028407413,0.059450349229874605,0.0005491704344121961,1.2280575338343391,1.0929833718793218,1.3798245656877146
year_2024,0.4001015252343599,0.0750399826574147,9.722012795068347e-08,1.4919761631819795,1.287913103559658,1.7283719416712255
y2018_x_T1,-0.07175184119705977,0.11357717395692045,0.5275533486726405,0.9307618438991244,0.7450059290688086,1.1628331752222676
y2018_x_T3,-0.17496808734836264,0.1283354277201795,0.17276736619362432,0.8394838104961391,0.6527862584776704,1.079577057471445
y2019_x_T1,-0.1266726427391653,0.12788218915702662,0.3219094110492877,0.8810220343558258,0.6856954272224343,1.1319892100850846
y2019_x_T3,-0.17915560990547422,0.12118408646952938,0.13930724311236223,0.8359758031594581,0.6592342008431198,1.060102073852218
y2021_x_T1,-0.11478716797111839,0.10159015680987463,0.2585164981393696,0.8915558753614644,0.7305892524434457,1.0879873694187383
y2021_x_T3,-0.08740636028821099,0.10557277348394786,0.4077128587925958,0.9163046701389648,0.7450313385520547,1.1269515858893149
y2023_x_T1,0.0787260945317728,0.08134289950248867,0.33312930237846783,1.081907940980814,0.9224648668638722,1.2689098900176092
y2023_x_T3,0.13451577692388353,0.08450279159561778,0.11141839081941897,1.1439827073881195,0.9693692326699989,1.3500494865082742
y2024_x_T1,-0.018520991391557988,0.09757256529744845,0.8494520540187407,0.9816494681871543,0.8107761993394448,1.1885347389047873
y2024_x_T3,-0.008556373489970005,0.10802172613455932,0.9368657927617235,0.9914801280924334,0.8022949611777498,1.225276104138956
